Time,Time Code,Country Name,Country Code,"Electricity production from renewable sources, excluding hydroelectric (kWh) [EG.ELC.RNWX.KH]",Access to electricity (% of population) [EG.ELC.ACCS.ZS],"Access to electricity, rural (% of rural population) [EG.ELC.ACCS.RU.ZS]","Access to electricity, urban (% of urban population) [EG.ELC.ACCS.UR.ZS]",Electricity production from coal sources (% of total) [EG.ELC.COAL.ZS],Electricity production from hydroelectric sources (% of total) [EG.ELC.HYRO.ZS],Electricity production from natural gas sources (% of total) [EG.ELC.NGAS.ZS],Electricity production from nuclear sources (% of total) [EG.ELC.NUCL.ZS],Electricity production from oil sources (% of total) [EG.ELC.PETR.ZS],"Electricity production from oil, gas and coal sources (% of total) [EG.ELC.FOSL.ZS]","Electricity production from renewable sources, excluding hydroelectric (% of total) [EG.ELC.RNWX.ZS]",Renewable electricity output (% of total electricity output) [EG.ELC.RNEW.ZS],Time required to get electricity (days) [IC.ELC.TIME]
1996,YR1996,Canada,CAN,5906000000,100,100,100,15.7073564089093,62.0752309623007,3.20563280965006,16.1917096184693,1.25495480242753,20.1679440209869,1.03084326330139,63.1060742256021,..
1996,YR1996,Cayman Islands,CYM,..,100,100,100,..,..,..,..,..,..,..,0,..
1996,YR1996,Central African Republic,CAF,..,3.08757996559143,..,9.14497566223145,..,..,..,..,..,..,..,78.8461538461538,..
1996,YR1996,Chad,TCD,..,..,..,..,..,..,..,..,..,..,..,0,..
1996,YR1996,Channel Islands,CHI,..,..,..,..,..,..,..,..,..,..,..,0,..
1996,YR1996,Chile,CHL,1738000000,95.617315,74.1794729751692,99.441775,30.9081443399603,54.7977743793317,0.998926235642469,0,7.63999609540234,39.5470666710051,5.65515894966323,60.4529333289949,..
1996,YR1996,China,CHN,1640000000,..,..,..,76.1976042360957,17.4003925053692,0.261793675479523,1.32729763756202,4.66109383100052,81.1204917425757,0.151818114493076,17.5522106198623,..
1996,YR1996,Colombia,COL,496000000,92.5963668823242,75.9316552214079,99.0056228637695,4.31945020986117,81.8481619851483,12.0866196208662,0,0.601909506019095,17.0079793367465,1.14385867810525,82.9920206632535,..
1996,YR1996,Comoros,COM,..,..,19.8805397711065,51.8,..,..,..,..,..,..,..,0,..
1996,YR1996,"Congo, Dem. Rep.",COD,0,..,..,..,0,99.7053527582256,0,0,0.294647241774431,0.294647241774431,0,99.7053527582256,..
1996,YR1996,"Congo, Rep.",COG,0,..,..,..,0,99.5633187772926,0,0,0.436681222707424,0.436681222707424,0,99.5633187772926,..
1996,YR1996,Costa Rica,CRI,544000000,98.2876663208008,..,..,0,79.3835901707622,0,0,9.2877967513536,9.2877967513536,11.3286130778842,90.7122032486464,..
