Series Name,Country Name,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Electricity production from natural gas sources (% of total),Cuba,0.0755515261408281,0.0918987699703096,0.650268589199887,6.43803477780845,8.69478445981905,8.22275965749395,7.79030511497548,10.1897533206831,11.9675067161315,12.6254725589884,13.5588074564333,14.1454834316841,14.3503591832117,13.4261869854517,13.0424785882623,11.5653153153153,11.3522899934882,10.3814002089864,14.4273468966229,14.5406151419558
Electricity production from natural gas sources (% of total),Mexico,14.695829184925,15.112273348737,18.0286773740565,18.8099838128557,21.4556946639115,26.020150662654,34.1667392230812,40.1431734379829,42.7926240513841,40.1335098577171,46.3250866944399,49.7979432431617,52.096986799844,54.6542722050838,53.348189172416,54.3301260772054,53.8661840717643,55.7499175988645,57.0362459203439,59.8612191374888
Electricity production from natural gas sources (% of total),Argentina,46.5100594093505,44.1547484024454,45.9493055180241,56.4964519616737,54.6473962433922,47.711257837208,47.6845109113945,51.7103118548299,54.8015773972945,52.4461802428643,46.2903180529433,51.0468742726807,54.2186112298938,51.2299149435281,49.9820377924846,44.818802825055,48.3141262432996,47.2353643279311,48.1996785915942,49.4822602564899
Electricity production from natural gas sources (% of total),Brazil,0.334388453642225,0.382165191472229,0.410569762671407,0.792612244410187,1.16591671204609,3.02001777734484,3.58896175843504,3.59829719025413,4.9719578890859,4.66760786337595,4.35401598237217,3.48109725551335,6.21465144352761,2.86020153565276,7.07229347836625,4.71926086539528,8.46144937606763,12.0823819462927,13.7263798757642,13.6662471718485
Electricity production from natural gas sources (% of total),France,0.809568701390526,0.978092719197565,0.980747773357568,1.47744691953948,2.15140960865796,2.77762495277707,3.31791991040948,3.44930757394426,3.70118337993002,4.03861977206281,3.82135180320038,3.9000500211082,3.84738450286743,3.86365734939123,4.21028381048584,4.80880700966075,3.89558211417827,3.02813374992066,2.29146240255818,3.51272595626573
Electricity production from natural gas sources (% of total),Germany,8.71959047814473,9.07427040698088,9.74519121973297,9.96534218932395,9.17242837398417,10.0414857893127,9.36689154125584,10.5824523734972,10.4888685250489,12.0227346541085,12.1318346472124,12.5607775741995,14.2316907847032,13.919107202788,14.4197975367988,14.3651149156495,12.4418407036513,10.859869340938,10.0122520251215,9.83155139032119
Electricity production from natural gas sources (% of total),Iceland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Electricity production from natural gas sources (% of total),Italy,20.9655051420647,24.8628936736383,27.9446492282825,33.551136911535,37.5489458807665,38.3193450388754,35.8207341856074,40.974157986293,43.8749463278078,50.2836544940035,51.3758933475467,56.0135227206364,55.0826563581446,51.0756585222051,51.1217546431572,48.0788164231926,43.4103155756177,37.8157681767503,33.6683254469358,39.3732108736264
Electricity production from natural gas sources (% of total),Russian Federation,43.1031263369126,42.8965618226205,41.8209392766062,42.4243535494891,42.257332840446,42.3625346186412,43.2631067611817,44.4870987216841,45.4279738252832,46.1870202563399,46.0574625326377,48.027775831632,47.6407195085663,47.3750183072487,50.2384868103571,49.3068857484466,49.1321998329769,50.1115272568077,50.2189991273923,49.7126094312904
Electricity production from natural gas sources (% of total),Spain,3.90332535402186,9.60839981601611,8.38297344254157,9.25878243464489,9.13358168757157,10.0220108380852,13.4988350137756,15.2996545063794,20.0468458568888,27.2974140164798,30.6412433774722,31.4071408929926,38.8445484889606,36.9158766432886,31.7950522928399,29.3304703069635,24.9396139374434,20.4430705821741,17.1933704068755,18.8983124064048
Electricity production from natural gas sources (% of total),United Kingdom,24.0718209743124,31.7781659888883,32.6241625793801,39.1244353182752,39.553121869783,37.1121537367144,39.5938584744992,37.6471688952724,40.1415361967706,38.601407090075,35.7949317540604,42.1896272244008,45.7913884052699,44.6293064858968,46.3255460026739,40.1738972720003,27.7219581709441,26.9615413828898,30.0915915333753,29.7402157238164
Electricity production from natural gas sources (% of total),United Arab Emirates,96.6317928646696,95.8661971830986,96.3494250119789,96.6115390831223,96.9106749449229,97.2018901139627,97.2362130783678,97.2558139534884,97.6648797145964,97.8648390391776,97.9675892643182,98.1368091871863,98.2946904706701,98.4112263036446,98.5214063523248,98.5999172861797,98.6208576998051,98.5963359755983,98.4776191130029,98.5255091625709
Electricity production from natural gas sources (% of total),Albania,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Electricity production from natural gas sources (% of total),Algeria,95.7441657790259,95.8040656835838,95.6280629352592,96.4454497717817,96.745631984889,96.8300469483568,97.6345486111111,96.7806296709614,96.9984,96.24944714728,97.2520297507523,97.2577696526508,97.3282632468436,97.6286330225189,97.5116980802029,96.9350304544745,97.0712755022039,97.9428953080648,98.6115002646244,98.357510392744
Electricity production from natural gas sources (% of total),Angola,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Electricity production from natural gas sources (% of total),Arab World,52.080274184065,51.2224686818207,49.1975801555375,50.7410260016664,51.0907559251247,55.0380310684151,55.5904160102666,56.7999464081284,57.9209905673018,60.5437284686299,61.4616541037027,61.2486014027772,61.6241127287519,61.1128258885623,61.7602660860604,61.7795203475994,61.3309735964376,63.0350443483141,61.5925258712412,64.0714218284369
Electricity production from natural gas sources (% of total),Armenia,35.2590923720631,49.9751202521148,49.5073493781295,42.6622354381669,45.1829472977509,48.5639686684073,28.6102554810654,27.6495182694056,30.3648424543947,28.9377869241729,24.8443023060091,25.2458460495083,26.1698440207972,20.3491447716452,22.1537513480203,32.1668909825034,42.297162767546,41.1543450064851,42.4387096774194,35.9148608795999
Electricity production from natural gas sources (% of total),Austria,17.5551573524471,15.2033761336087,15.8594169200501,15.5050403898792,13.1125363262852,14.3219742250315,15.3279741705927,19.2161385269463,17.6809582230258,20.2040721385706,17.1290498667437,15.7128123760413,17.3270932448976,18.6124012304723,21.1249153590249,19.9736639260021,14.1333139281036,10.3020914020139,8.77207218904181,12.6013956575944
Electricity production from natural gas sources (% of total),Azerbaijan,18.5813776555276,18.5317177476835,19.7410823424825,19.5587588028169,19.8459810685063,59.388508170796,58.2268327896904,52.7060039462558,59.0599705665931,61.17086393844,64.8453734262315,70.9067606536367,81.735434089544,85.122959508162,81.4537680384821,85.1483197004041,89.8903775883069,92.9648026034084,93.8612099644128,86.0823071937783
Electricity production from natural gas sources (% of total),Bahrain,100,100,100,100,100,100,100,100,100,100,97.5572664195419,98.8355502370323,99.978093235191,100,100,100,100,99.972989658898,99.974314754339,99.9684033141413
Electricity production from natural gas sources (% of total),Bangladesh,87.1012724420429,84.5083487940631,84.5831392640894,84.9688581314879,88.7832096886691,87.5517479300828,89.2472542191267,89.4581980519481,91.1031884292833,90.7815631262525,90.9755849784972,89.895178197065,89.8123794494126,91.6157839524437,92.696739396911,86.660023101488,84.1357439973642,83.1494728915663,82.0109230906975,80.7035976343394
Electricity production from natural gas sources (% of total),Belarus,80.3818273769386,86.5180181908892,86.638004427039,87.8488459797858,93.3297574805563,94.0709412281052,94.753553069247,95.8012543658692,95.024030759372,96.8314976906431,94.973436861463,99.0386125860065,96.889979456745,81.7026599947327,97.1457228829345,98.2577639751553,96.7141790317868,98.4130510680166,98.0048941989348,97.8669092189426
Electricity production from natural gas sources (% of total),Belgium,14.6530384093268,14.8174310630483,18.319829424307,23.0681572823453,19.302187911517,20.0717392963443,22.0758843079356,25.8601500700087,25.4608609059547,26.6588106266553,27.2940674349125,29.0032903756512,29.4868573753036,32.6370175712091,33.4850212611768,28.5775271305637,28.8479680474388,25.4661408889538,27.0174260859836,32.8061195145799
Electricity production from natural gas sources (% of total),Benin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Electricity production from natural gas sources (% of total),Bolivia,52.9647930821495,52.3905529953917,54.7978436657682,50.7343468178305,47.7061855670103,43.9698492462312,44.8374760994264,51.5697137580794,50.0331638293168,57.4346405228758,56.4716981132075,56.5399372166027,56.9365652398143,58.813919294233,64.1139147115243,64.2105263157895,65.6702780315886,65.9888406695598,69.994288977727,66.3461538461538
Electricity production from natural gas sources (% of total),Bosnia and Herzegovina,0,0,0,0,0,0,0,0,0,0,0,0,0,0.41485830993107,0.315346881569727,0.320680628272251,0.369265729299815,0.217752564322961,0.185643564356436,0.191950860579692
Electricity production from natural gas sources (% of total),Botswana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Electricity production from natural gas sources (% of total),Brunei Darussalam,99.2463495054169,99.2106356460324,99.1214057507987,99.0961380443714,99.0955564294141,99.0694067468011,99.0744168826361,99.2165465371357,99.1115196078431,99.1115196078431,99.0600363856883,99.0279823269514,99.0359333917616,98.9756367663344,98.9978902953586,98.9530201342282,99.0076335877863,99.0458882326215,99.0013315579228,98.9523809523809
Electricity production from natural gas sources (% of total),Bulgaria,6.98333177263789,4.72067760024401,4.85259021767953,5.28683026907599,4.70402991684299,4.38278127440621,3.64960041736821,4.16272916272916,3.60643074397721,3.93204766669699,4.74484638037888,5.44052914735543,5.29337879059752,4.62707345272646,4.27450724732164,4.15209003858225,5.05807338070804,5.43082031159302,4.56453640761182,3.82421730745558
Electricity production from natural gas sources (% of total),Cambodia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Electricity production from natural gas sources (% of total),Cameroon,0,0,0,0,0,0,0,0,0,0,0,9.19320999427809,8.80126738250308,7.14162199550406,7.06899474487201,6.1982773180206,6.17989417989418,6.18874773139746,6.19310793237971,5.99289730689553
Electricity production from natural gas sources (% of total),Central Europe and the Baltics,7.7094289496054,5.92689783543138,6.31529066624757,6.63967729677589,6.7756330452079,6.93649141072358,7.78535881651114,8.06591157624759,8.30006112548933,8.53715388102251,9.00782987153952,9.38939971404972,8.89123895073016,7.66694746684426,8.25779326443852,8.51630771167504,8.41428258413209,7.40056521167414,6.19820021673234,7.10130835653038
Electricity production from natural gas sources (% of total),Chile,0.998926235642469,3.01528666246208,14.3879016587344,19.8567335243553,26.0716602624882,31.3677082598575,29.5917199056582,35.3968694612313,32.4910170285893,25.9126590961055,20.6760665220535,7.9133124818404,3.66474608066461,6.47211883666546,17.6887182711719,20.877147596366,18.4212412725266,15.2672278108534,14.2693457787217,15.06493161951
Electricity production from natural gas sources (% of total),Colombia,12.0866196208662,20.8608900347495,23.8857830144553,15.2982111998505,19.1373913043478,19.9921734726762,18.1630478220328,14.6666380180916,14.1052716265412,14.6989292170769,13.7208220961592,11.8951904968854,10.3060531302514,19.1464417575111,20.1433764135703,12.5268420621261,14.4277968494337,16.5553283998963,15.2686454336695,19.3430604054074
Electricity production from natural gas sources (% of total),"Congo, Dem. Rep.",0,0,0,0,0,0,0,0,0,0,0.530292986875249,1.01497081958894,1.05974301231951,1.01858925388337,1.01201771030993,1.01278642866186,0,0,0.0791855203619909,0.0447327219861329
Electricity production from natural gas sources (% of total),"Congo, Rep.",0,0,0,0,0,0,0,14.2857142857143,16.8765743073048,18.013856812933,17.8807947019868,17.6904176904177,18.6550976138829,34.5083487940631,43.75,38.1283836040217,41.9411764705882,43.1831480397894,45.2873563218391,46.6551326412918
Electricity production from natural gas sources (% of total),Costa Rica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Electricity production from natural gas sources (% of total),Cote d'Ivoire,36.34131368938,43.8600843463161,54.027846842367,58.6257006435541,62.9791666666667,62.8863868986694,67.0948243294295,63.8686848830352,66.1887477313975,72.6456609751804,71.0344827586207,65.7254484105843,65.0862068965517,62.2721853176631,70.2933780385582,69.3228398098049,67.4600912200684,75.4509803921569,69.9372435433261,78.0507404431179
Electricity production from natural gas sources (% of total),Croatia,11.7157433097646,11.438898114682,11.6815086432687,9.50913154041766,13.9483263784072,14.2432072664631,19.8898071625344,15.6231049120679,17.6944664316039,13.8929309948687,15.9250947922309,24.4240733359904,19.2394961270636,16.5370231862378,17.2546634225466,23.310209889719,23.7043330501274,14.4905714490571,7.45757665972016,10.6513614522157
Electricity production from natural gas sources (% of total),Cyprus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Electricity production from natural gas sources (% of total),Czech Republic,1.62323927110916,1.79236027843095,2.0023520673434,2.69330881092286,2.31926595438274,2.12840477409273,2.11198105138496,1.91267387944359,1.84150853323786,1.79419267432352,1.87319195734812,1.56100451210063,1.22216219460952,1.19438455507644,1.5964928732183,1.60989213607449,1.70613817527426,2.3544321458469,2.12230892168845,2.74038927084342
Electricity production from natural gas sources (% of total),Denmark,10.5987085215184,15.299559968408,19.7699024639408,23.2682425488181,24.3363936426927,24.5779108908267,24.4101102145748,21.1406053782531,24.5845286378475,24.2233625779396,20.611256056653,17.8985654695289,19.3412715752676,18.3354863535168,20.3437805568422,16.5800902665418,13.6542783622683,9.83507469130472,6.49080288342033,6.2735343904377
Electricity production from natural gas sources (% of total),Dominican Republic,0,0,0,0,0,0,0,7.43726975741989,5.06266490765172,6.32252305861351,9.61458765022793,13.2982619697676,13.591138232953,14.2319704713231,21.077423207059,20.9334078073605,22.6966422679215,22.1436728478982,22.5965349337561,22.0295822723086
Electricity production from natural gas sources (% of total),Early-demographic dividend,22.5916126197474,22.7953768045518,23.8101804126228,25.3778759400888,25.7109139497338,27.3245247314654,28.9005404479601,30.9333797483494,31.5038003570895,31.4598889433744,31.2105731885311,32.4951975735431,33.1024779491946,33.9300761981923,33.9820134431104,32.3539522258954,31.3454765649913,31.0116891050754,31.7749875060119,32.5891297553649
Electricity production from natural gas sources (% of total),East Asia & Pacific,12.7192583286837,13.6736061027911,13.7740247689408,14.2802729734103,13.8393904497413,13.8521417326189,14.2066236351565,14.0082049532943,13.4394533267106,12.6023550034265,12.6788203312987,12.8189444299169,12.7740595668108,13.0276208324646,13.4447111758683,13.5103959703259,13.5723390178944,13.4938059865554,13.6423381681667,13.524058335297
Electricity production from natural gas sources (% of total),East Asia & Pacific (excluding high income),7.72613029964578,8.80171433406257,8.83190712284591,8.9972677507265,8.80450386979841,8.69203690689173,8.55483034799432,8.40382694065578,7.72392537703762,7.46660244706755,7.11075279401844,6.88533882820972,6.89841161736036,7.57452504923848,7.68568006745892,6.66412693114897,6.7199514590132,6.53351895160309,6.67294402997128,7.11903784909008
Electricity production from natural gas sources (% of total),East Asia & Pacific (IDA & IBRD countries),7.84789507562204,8.9204893887278,8.93408463642059,9.10476839411707,8.90511031688046,8.78719573608215,8.6376304824948,8.47963477824178,7.78796366649551,7.52417349804162,7.15814298846873,6.92416178588913,6.93820625475625,7.61163782609501,7.72001517709694,6.68788160984404,6.74251524688445,6.55276108198909,6.69132409503207,7.13355656812898
Electricity production from natural gas sources (% of total),Ecuador,0,0,0,0,0,0,3.14602960969044,8.1240256365841,9.61628087618456,11.34516765286,12.2060390763766,12.2709504031273,9.34261571982782,10.6575475254456,11.2307140294223,9.42367601246106,10.2289140806233,12.8756287347921,13.3418356851936,12.6674409601239
Electricity production from natural gas sources (% of total),"Egypt, Arab Rep.",58.708741385564,56.4575203669474,50.9354254677127,61.8745893860866,53.7424977285234,65.97824259744,67.221661621258,71.5421871552693,73.9444614458188,74.3085840463704,74.3507759494658,74.4807358805712,72.8594322344322,74.3661870503597,76.476198261533,79.6932772575378,75.9597395339796,73.4947932163047,71.6620443173695,70.7287184644213
Electricity production from natural gas sources (% of total),El Salvador,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Electricity production from natural gas sources (% of total),Eritrea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Electricity production from natural gas sources (% of total),Estonia,3.22970449302428,2.79887177261879,3.12169933106443,2.76971456216739,7.00105720662516,7.06118118590121,6.20382314999414,4.96111822029727,4.7263198757764,5.33072023517883,5.53842992190711,2.8219852337982,3.99773178338531,1.2302084519877,2.3372415921012,1.93903668657411,1.05289546252194,0.670433145009416,0.554394986340993,0.595180954209465
Electricity production from natural gas sources (% of total),Ethiopia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Electricity production from natural gas sources (% of total),Euro area,10.1623657825758,11.4892780057008,12.2801669476123,13.9568723408249,14.3457420199868,14.9767382843569,15.4028657157187,16.9185169102415,18.2164694361415,20.5138034653069,21.1551924576903,22.3145393819931,23.9386776620953,23.4019575829052,23.1874473156534,22.3828460504807,19.3762419807243,16.6740038663852,14.8040893922793,16.1911744074616
Electricity production from natural gas sources (% of total),Europe & Central Asia,18.5078260712595,19.5266249422637,19.64832096002,21.3849851483757,21.7882294828928,22.1561945847187,22.8330164759431,23.9193631489753,24.8701272472309,25.9638366177827,26.1380455862852,27.6398190698102,28.5437962833457,28.1201670744422,28.6662265898999,27.8165706757057,25.5312146838671,24.4512252728897,24.309135616855,24.3257815202161
