Series Name,Country Name,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Electricity production from hydroelectric sources (% of total),United States,9.61108049749619,9.0729041288376,7.78274907846069,7.17447009761883,6.28939972204869,4.90388870987027,6.63207993047882,6.87134694026536,6.5359877340842,6.38210849806987,6.82732746184747,5.77298582418942,5.91101041220544,6.61617925790951,6.02306238593337,7.43610219027027,6.52115580755647,6.3179099039587,6.05379847359067,5.84163825956796
Electricity production from hydroelectric sources (% of total),Canada,62.0752309623007,61.1398186889819,59.0920663973407,59.7229443211359,59.1993672349223,56.515819458103,58.3131223405494,57.2385003952221,56.8186175222759,58.3248996009824,57.741601864216,58.4755914229945,59.7357667606739,60.4697815942065,58.1844015791844,59.0402343467615,59.7233020917269,58.8880788281009,57.2546166558885,56.7441929808868
Electricity production from hydroelectric sources (% of total),India,15.5587306531597,15.7953194352181,16.4769896238419,14.814482291075,13.0706632402297,12.5298595136448,11.2070066928528,12.4150901070468,13.2329226554151,15.078473456521,15.5562792717347,15.5257096299858,13.76817487962,12.3335608120336,12.5656513677538,13.3622326287812,11.0893647561237,12.3886605001713,11.0801572565746,9.9820390975008
Electricity production from hydroelectric sources (% of total),China,17.4003925053692,17.2537257194371,17.8158458244111,16.4370160501384,16.40538216086,18.7333932498688,17.4090356216191,14.8465397185929,16.0446416658573,15.8777203929188,15.2056173965109,14.7865646491701,16.8778706645304,16.5714641024737,16.9489736500775,14.6241302346658,17.3087339499897,16.7313490296358,18.5524939791678,19.0698129653579
Electricity production from hydroelectric sources (% of total),Australia,8.69158087716824,9.04276584209114,7.88794937929125,7.95719624607739,7.79552472077155,7.38545916661093,6.98264563854023,7.37762142656379,7.05919469968845,6.70427025535698,6.84321114438806,5.90133303701143,4.89935122370646,4.75704871117919,5.3441308366086,6.59926666062771,5.58564442391322,7.2794356244066,7.40582605613379,5.29618354500626
Electricity production from hydroelectric sources (% of total),"Korea, Rep.",1.19641667283631,1.26646676931666,1.98038589524643,1.76531010713255,1.38982275427518,1.34277035747905,0.98027919612861,1.42835913529201,1.18108517997229,0.946957001500487,0.862107539712134,0.852537537713809,0.691541123044763,0.62279155855082,0.741265667843726,0.88414065489479,0.747549135016527,0.797373445549377,0.504153033894765,0.390731684224709
Electricity production from hydroelectric sources (% of total),Japan,7.71715696808944,8.41054950791482,8.61639790054014,7.90098347945536,7.83371259047948,7.67652861433134,7.37726764404984,8.55908527447316,8.27935153368374,6.77106161426997,7.74286237496495,6.41662223262629,6.94267984463247,7.19751321874745,7.21117410952368,7.74362826265622,7.14401986689784,7.37094939904584,7.75888972257293,8.22909281286162
Electricity production from hydroelectric sources (% of total),Singapore,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Electricity production from hydroelectric sources (% of total),Thailand,8.16989826584448,7.72316735674597,5.74890063518856,3.92496584813248,6.27858757827396,6.15407147041593,6.85331107299129,6.23936811331561,4.80405958942789,4.38587865080146,5.85619351025645,5.65916667829095,4.82479345569981,4.81690634392226,3.47099459635662,5.23299421120449,5.2466915995397,3.37290293808716,3.21062636190829,2.66595409540954
Electricity production from hydroelectric sources (% of total),Vietnam,70.8687440982059,60.9293330545683,51.1573220213943,58.4659790313681,54.7833289409284,59.4942498693152,50.8380824673148,46.3921808185706,38.5595879590556,31.580811092888,33.7361347593937,34.3764923591213,35.4051991934165,36.0456868049294,29.0296407911236,39.3227765393189,44.8967616844683,41.5460521054904,42.8767957582488,36.6139754571609
Electricity production from hydroelectric sources (% of total),Cuba,0.717739498337866,0.918987699703096,0.685609273395533,0.710736958321833,0.592070250133049,0.490228119484934,0.675202242181031,0.809614168247944,0.562875783548676,0.443227740842133,0.570769324184832,0.68656377666818,0.780587137281521,0.851471749182362,0.557567396677588,0.557432432432432,0.602344258736705,0.663531870428422,0.537023649695342,0.236593059936909
Electricity production from hydroelectric sources (% of total),Mexico,19.9389946160529,15.7803609703092,13.5076575390556,17.1176439872592,16.1093958915765,13.3194384731854,11.4338216761907,8.41599038172528,10.6093449447141,11.0496554584317,11.8098385582734,10.3064024849965,14.553218350259,9.97856241176602,13.4758671249233,11.9725450948139,10.3776348509901,9.41794528564606,12.9000053068697,9.90396544298671
Electricity production from hydroelectric sources (% of total),Argentina,32.8789139855925,38.74934299704,35.7171809976761,26.5848111648253,32.3630637723541,41.0841702269323,42.4496465489681,36.7412800173856,30.389856736385,32.23402944327,35.5107655166606,28.2707256900805,25.0131574619256,27.7774588046162,26.8131850586366,30.6425842306356,27.2320408178313,29.3691309912423,29.6079396562957,26.2415750877847
Electricity production from hydroelectric sources (% of total),Brazil,91.2423869979882,90.5806183478255,90.5892188918035,87.5368969514454,87.2439884210828,81.5432196476189,82.7642469284377,83.8823183902904,82.7963649784619,83.729372036533,83.1801152772114,84.0205595005695,79.8061619592845,83.8812239740325,78.1954260341836,80.5505146147582,75.1581545499291,68.4634457254122,63.2249839583781,61.8484936009848
Electricity production from hydroelectric sources (% of total),France,12.9711681986016,12.7279804381456,12.2407178876566,13.9119057165934,12.400034380699,13.6198251926512,10.9092715351408,10.4975209437511,10.471945279668,9.01244726107736,9.88774779078099,10.2179643182762,11.190888920925,10.7407149170001,11.1137102705193,8.05050550438104,10.4846442709979,12.4687030545819,11.2619354468656,9.66114989689331
