Series Name,Country Name,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Electricity production from oil sources (% of total),United States,2.64953533644971,2.94968711024939,3.86644356268255,3.50373473205292,2.94300507838649,3.3749076216171,2.63605271111979,3.37920742337993,3.35309347939288,3.30976200588116,1.83908298715489,1.8070660500958,1.33033078669485,1.21104961234169,1.10431766942719,0.91350437464681,0.774312765226122,0.859739209174284,0.92325908117234,0.903806520197121
Electricity production from oil sources (% of total),Canada,1.25495480242753,1.63615760111576,2.56067401526576,2.09709039718799,1.82976769991876,2.86445793346672,2.31120603901137,3.66080788137232,3.86937060838689,2.51545468023799,1.85243369203781,1.98676128798255,1.6229706931533,1.73379589761254,1.29501073103521,1.03721072035856,1.0881943168235,1.16708881690204,1.24248520993509,1.21477770820288
Electricity production from oil sources (% of total),India,4.48004767160763,4.41928754881759,4.17626962527121,4.54440515235356,5.11911783291907,4.55496785798688,4.57475978784672,4.77631111937398,4.13294911775155,3.54444034564092,3.07101206538259,2.99770630783559,3.01218240005658,2.64907304246584,2.49056580656228,2.2451551181161,2.03784518752076,1.95633409238995,1.76743589228265,1.65950351553575
Electricity production from oil sources (% of total),China,4.66109383100052,4.14785612666037,4.57319057815846,4.053545087735,3.48651435601864,3.27607500325805,3.065234160579,2.86928465449521,2.97408398086319,2.0201434452618,1.3230149541828,0.856057212679666,0.542486195573643,0.326347265899537,0.353949915229281,0.257818456273203,0.219409990346522,0.184178728966276,0.16797437936229,0.165618383349663
Electricity production from oil sources (% of total),Australia,1.58228740657171,1.19113467215045,0.933755172572929,0.849101543508474,0.850074333854306,0.911421755512452,1.07574171643695,0.752994297008876,0.608641926621183,1.24415910872488,1.31398591482724,1.19063787405496,1.66945732352009,1.45025091194905,2.41360612069614,2.28784554974853,1.50931073482326,2.56789292567532,2.01922147391487,2.6950641361049
Electricity production from oil sources (% of total),"Korea, Rep.",20.4343426865082,18.465292597495,6.7371996908395,5.97038998964329,11.9854016622419,11.5424552868146,9.5823580065736,9.2144024755894,7.55021657774432,6.26337418852514,5.63477266512541,5.91258614010167,3.45793087291862,4.38610862653761,3.81202211315072,3.19794328654964,3.98692872008815,3.98184762340325,3.18667951475271,2.27920746650741
Electricity production from oil sources (% of total),Japan,15.9123001726089,14.9742442155041,14.1479609325543,14.2224819114878,13.2275579638486,12.0094146105647,13.2193103852533,14.1133971026291,12.6047126786805,12.5652025695856,10.6838124777177,11.6124137871241,10.759391934293,7.61281916641161,6.86856176495355,10.6210669652539,12.7065051976469,10.2033381623591,8.53586005996834,7.51942012970579
Electricity production from oil sources (% of total),Singapore,70.7593360995851,73.8679455721615,71.8942731277533,78.140243902439,79.9526290857414,69.0410710508024,53.7704823447958,35.0984942828031,27.1983917850642,23.0994687671735,19.7809441711881,18.4304572970608,17.0865594362011,15.627654153219,20.2001719538811,19.3924116650007,12.9995103361649,4.70095269861786,0.698663426488457,0.698204899335515
Electricity production from oil sources (% of total),Thailand,28.5133901738608,23.4280136442623,20.7346866255053,17.8033963060452,10.4483365806391,2.85881663737551,2.5914340491501,2.70295683988272,6.16494468173105,6.59924204028836,6.1452191838088,2.68730209655596,1.13073677641664,0.485194819197542,0.737829264928975,1.32187113359104,1.45461737629459,0.984056754901213,0.997380499791367,0.570432043204321
Electricity production from oil sources (% of total),Vietnam,8.63432483474976,11.3788417311311,16.949465142014,13.8970244917017,17.0136666541169,15.5416884474647,12.2527656721421,6.49480757483201,3.6464757947586,4.0386909199344,2.3209296943448,3.96370582617001,2.13771867676713,2.14607754733995,3.59314247178698,1.68056729956184,0.316348050887816,0.339053528875526,0.366854153978433,0.486029109555528
Electricity production from oil sources (% of total),Cuba,70.2024780900574,77.8806729817616,74.4840260107436,66.7885730057963,57.064928153273,56.7161252369436,33.8747690935728,29.0765338393422,29.4166560061405,36.8400469299961,45.3397291881717,40.9328188833409,44.131455399061,38.6038118867712,39.5298039891935,44.4707207207207,45.0835684827437,48.3437826541275,45.9361768047093,45.9680599369085
Electricity production from oil sources (% of total),Mexico,43.9276813515039,47.7422937077967,49.0844962260839,45.3741318991175,45.5082046918682,42.0023552722583,34.3848667176853,30.348366120982,28.8884305695273,27.3037229630575,21.7969604580259,20.2512892427395,18.8214544306853,17.4985247652696,16.1818557943216,16.2665028356636,18.2864192065827,16.1849283278287,10.947408920848,10.1488728474182
Electricity production from oil sources (% of total),Argentina,6.63547914932698,2.82442114581316,5.1478138680214,4.76095790821082,3.24260488134068,1.11413194251789,0.898724734467692,1.09855481908073,4.03234662806369,5.44691016295229,7.51948647409445,10.2127263417586,11.8170454919246,11.7094136270803,13.3024117257291,15.1217629578171,14.7890906677874,14.2682523476035,13.840106557021,15.4231944645654
Electricity production from oil sources (% of total),Brazil,3.17840688277179,3.21317479592963,3.45829655506794,4.93552743221119,4.34753948009515,4.81510343735921,3.88780082795491,2.95192115035722,3.13018611289627,2.89752948269745,2.95084860148282,2.99519035284973,3.79081212869844,3.14060083111467,3.11491143879243,2.78247394956719,3.54526766843279,4.65070671130598,5.99728096625588,5.04425326483877
Electricity production from oil sources (% of total),France,1.5299709325163,1.54239233494685,2.29682257434955,1.90930421286286,1.33879189213429,1.09263762502613,1.04167042970937,1.26374878896678,1.14786094846231,1.38740568267362,1.25265176526785,1.09319180789056,0.940221729178167,0.890207155953967,0.978760732608522,0.615232532015277,1.10942664445313,0.448031201732176,0.376055078267135,0.382612769612454
